2025.11.16 08:58:27 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\DAO\Implements\ZapatillaDAOImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:36 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\DAO\Implements\ZapatillaDAOImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:40 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\DAO\Implements\ZapatillaDAOImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:40 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\DAO\Implements\Zapatilla_variacionDAOImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:40 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\DAO\Implements\Zapatilla_variacionDAOImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:40 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\DAO\Implements\Zapatilla_variacionDAOImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:51 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\DAO\Implements\Zapatilla_variacionDAOImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:51 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Repository\Zapatilla_variacionRepository.java. Using fallback presentation compiler.
2025.11.16 08:58:51 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Repository\Zapatilla_variacionRepository.java. Using fallback presentation compiler.
2025.11.16 08:58:57 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Repository\Zapatilla_variacionRepository.java. Using fallback presentation compiler.
2025.11.16 08:58:57 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\Zapatilla_variacionServiceImpl.java. Using fallback presentation compiler.
2025.11.16 08:58:57 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\Zapatilla_variacionServiceImpl.java. Using fallback presentation compiler.
2025.11.16 08:59:03 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\Zapatilla_variacionServiceImpl.java. Using fallback presentation compiler.
2025.11.16 08:59:03 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\Zapatilla_variacionServiceImpl.java. Using fallback presentation compiler.
2025.11.16 08:59:05 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\Zapatilla_variacionServiceImpl.java. Using fallback presentation compiler.
2025.11.16 09:00:53 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\Zapatilla_variacionServiceImpl.java. Using fallback presentation compiler.
2025.11.16 09:00:53 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Repository\Zapatilla_variacionRepository.java. Using fallback presentation compiler.
2025.11.16 09:00:53 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Repository\Zapatilla_variacionRepository.java. Using fallback presentation compiler.
2025.11.16 09:00:58 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Repository\Zapatilla_variacionRepository.java. Using fallback presentation compiler.
2025.11.16 09:00:58 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\ValidDocumentNumber.java. Using fallback presentation compiler.
2025.11.16 09:00:58 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\ValidDocumentNumber.java. Using fallback presentation compiler.
2025.11.16 09:01:02 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\ValidDocumentNumber.java. Using fallback presentation compiler.
